Student id, % Result, Total Movements, Avg t to Answering, Avg t to Reviewg, Num Q Gussed, Num Q Uncertin, Num Q Ans Changed, % Q Answered, Avg Q Visits Before Final Ans, Num Skips,Avg t Correct Ans, Avg t Wrong Ans,Num W to R,Num R to W,Num W to W 
45,88.89,406, 00:00:48, 00:00:46,22,4,6,100,0.303571429,15, 00:02:12, 00:00:37.5000000,4,1,1
46,65.56,162, 00:01:16, 00:00:44,12,7,15,100,0.355555556,5, 00:01:42.5806452, 00:01:02.0338983,9,2,9
47,82.22,137, 00:00:50.6666667, 00:00:18.6666667,22,3,8,100,0.348837209,6, 00:02:26.2500000, 00:00:30,2,3,4
48,85.56,367, 00:00:54, 00:00:36,12,5,6,100,0.0625,2, 00:01:18.4615385, 00:00:49.8701299,4,2,0
49,76.67,402, 00:01:00, 00:00:34.6666667,11,3,14,100,0.375,11, 00:01:11.4285714, 00:00:56.5217391,9,3,3
50,72.22,397, 00:01:06.6666667, 00:00:42.6666667,16,6,18,100,0.571428571,32, 00:01:50.4000000, 00:00:49.8461538,9,9,7
51,95.56,448, 00:00:31.3333333, 00:00:32,23,0,0,100,0.5,26, 00:01:00, 00:00:30,0,0,0
52,52.22,760, 00:01:11.3333333, 00:00:32,12,6,24,100,0.608108108,20, 00:01:22.3255814, 00:01:01.2765957,12,6,8
53,60,548, 00:01:01.3333333, 00:00:28.6666667,11,2,8,100,2.777777778,72, 00:01:15, 00:00:52.2222222,6,1,1
54,73.33,418, 00:00:47.3333333, 00:00:40,17,3,7,100,0.489795918,17, 00:01:05, 00:00:40.9090909,3,4,1
55,74.44,293, 00:00:44, 00:00:21.3333333,15,0,9,100,0.166666667,9, 00:01:02.6086957, 00:00:37.6119403,7,3,4
56,66.67,417, 00:01:01.3333333, 00:00:42,11,3,16,100,0.31147541,6, 00:01:38, 00:00:43,8,10,5
57,83.33,143, 00:01:02, 00:00:04,17,5,4,100,0.2,6, 00:01:20, 00:00:58.4000000,4,0,0
58,87.78,310, 00:00:47.3333333, 00:00:26,23,2,11,100,0.301886792,4, 00:02:05.4545455, 00:00:36.4556962,8,5,1
59,86.67,440, 00:00:45.3333333, 00:00:43.3333333,13,2,8,100,0.203389831,4, 00:00:55, 00:00:43.8461538,7,1,1
60,64.44,445, 00:00:58.6666667, 00:00:54.6666667,13,1,23,100,0.720588235,28, 00:01:18.7500000, 00:00:47.5862069,15,10,14
61,74.44,390, 00:00:44.6666667, 00:00:56,24,2,16,100,0.20754717,2, 00:01:00, 00:00:39.4029851,9,8,4
62,81.11,353, 00:01:08, 00:00:30,17,8,8,100,0.966101695,52, 00:02:14.1176471, 00:00:52.6027397,6,1,2
63,85.56,157, 00:01:14, 00:00:22,11,7,9,100,0.111111111,0, 00:03:00, 00:00:56.1038961,5,2,2
64,87.78,434, 00:00:57.3333333, 00:00:40,16,4,13,100,0.206349206,7, 00:01:21.8181818, 00:00:53.9240506,8,5,1
65,88.89,502, 00:00:43.3333333, 00:00:48.6666667,26,3,9,100,0.578947368,5, 00:00:48, 00:00:42.7500000,9,2,1
66,86.67,328, 00:00:34.6666667, 00:00:26,22,1,9,100,0.563636364,28, 00:00:50, 00:00:32.3076923,6,1,3
67,53.33,187, 00:01:25.3333333, 00:00:18.6666667,8,10,8,100,0.71641791,34, 00:01:44.2857143, 00:01:08.7500000,4,4,4
68,50,162, 00:01:24, 00:00:10,3,7,3,100,0.347826087,22, 00:01:44, 00:01:04,0,1,2
69,71.11,594, 00:00:40, 00:01:04,20,2,24,100,1.096153846,8, 00:01:04.6153846, 00:00:30,15,3,11
70,62.22,389, 00:01:08, 00:00:29.3333333,16,7,9,100,0.691358025,53, 00:01:21.1764706, 00:01:00,4,1,4
71,57.78,353, 00:00:56.6666667, 00:00:38,11,3,14,100,0.245614035,3, 00:00:55.2631579, 00:00:57.6923077,11,2,4
72,66.67,185, 00:01:07.3333333, 00:00:26,11,5,7,100,1.3,13, 00:01:24, 00:00:59,4,2,2
73,87.78,425, 00:00:46, 00:00:58,22,4,13,100,0.625,9, 00:02:00, 00:00:35.6962025,12,3,2
74,78.89,392, 00:00:52, 00:00:36.6666667,11,0,5,100,0.171875,9, 00:01:06.3157895, 00:00:48.1690141,3,2,1
75,66.67,287, 00:00:28, 00:00:22.6666667,22,0,18,100,0.333333333,14, 00:00:34, 00:00:25,14,5,4
76,77.78,367, 00:01:09.3333333, 00:00:40.6666667,11,4,24,100,0.409836066,11, 00:01:18, 00:01:06.8571429,21,5,6
77,85.56,479, 00:00:43.3333333, 00:00:56,20,1,10,100,0.340425532,6, 00:01:09.2307692, 00:00:38.9610390,9,2,3
78,84.44,569, 00:00:37.3333333, 00:00:57.3333333,30,3,11,100,0.974358974,19, 00:01:17.1428571, 00:00:30,7,5,2
79,81.11,518, 00:00:58.6666667, 00:00:49.3333333,15,4,14,100,0.457627119,5, 00:01:56.4705882, 00:00:45.2054795,14,3,7
80,85.56,142, 00:01:21.3333333, 00:00:46.6666667,23,5,7,100,0.155555556,1, 00:03:18.4615385, 00:01:01.5584416,5,3,0
81,85.56,382, 00:00:40.6666667, 00:00:43.3333333,19,1,9,100,0.14,2, 00:01:13.8461538, 00:00:35.0649351,5,2,3
82,72.22,417, 00:00:45.3333333, 00:00:29.3333333,15,0,2,100,0.166666667,6, 00:01:09.6000000, 00:00:36,0,1,1
83,80,433, 00:00:54, 00:00:38.6666667,15,2,8,100,0.673076923,25, 00:01:36.6666667, 00:00:43.3333333,3,2,3
84,83.33,349, 00:00:43.3333333, 00:00:13.3333333,11,0,4,100,0.090909091,4, 00:01:04, 00:00:39.2000000,2,1,1
85,81.11,399, 00:00:53.3333333, 00:00:37.3333333,8,3,9,100,0.491525424,24, 00:01:10.5882353, 00:00:49.3150685,5,4,0
86,64.44,391, 00:00:58, 00:00:40,14,3,11,100,0.333333333,7, 00:01:22.5000000, 00:00:44.4827586,9,4,6
87,90,468, 00:00:58.6666667, 00:00:37.3333333,22,4,6,100,0.948275862,51, 00:04:26.6666667, 00:00:35.5555556,2,1,3
88,88.89,358, 00:00:47.3333333, 00:00:24,15,2,7,100,0.245901639,6, 00:01:30, 00:00:42,3,3,2
89,65.56,722, 00:00:34.6666667, 00:01:04,24,0,20,100,0.78,6, 00:00:52.2580645, 00:00:25.4237288,15,10,5
90,68.89,332, 00:01:18.6666667, 00:00:10,7,4,3,100,0.040540541,3, 00:01:51.4285714, 00:01:03.8709677,1,2,1
91,84.44,505, 00:00:54, 00:00:40,25,6,6,100,0.895833333,37, 00:02:25.7142857, 00:00:37.1052632,3,2,3
92,72.22,384, 00:00:40, 00:00:31.3333333,18,1,13,100,0.213114754,2, 00:00:45.6000000, 00:00:37.8461538,11,2,2
93,91.11,433, 00:00:32.6666667, 00:00:44.6666667,26,2,13,100,0.418604651,6, 00:01:45, 00:00:25.6097561,10,3,3
94,77.78,363, 00:01:01.3333333, 00:00:26.6666667,9,5,5,100,0.707692308,43, 00:01:18, 00:00:56.5714286,2,2,1
95,84.44,652, 00:00:46.6666667, 00:00:42.6666667,14,0,5,100,0.287671233,3, 00:01:04.2857143, 00:00:43.4210526,5,1,3
96,83.33,394, 00:00:36.6666667, 00:00:28,21,1,12,100,0.388888889,16, 00:00:48, 00:00:34.4000000,9,1,2
97,80,333, 00:00:44, 00:00:22,13,2,8,100,0.037037037,0, 00:00:43.3333333, 00:00:44.1666667,6,1,1
98,88.89,513, 00:00:50.6666667, 00:00:43.3333333,22,2,8,100,1.185185185,49, 00:01:36, 00:00:45,5,1,2
99,88.89,400, 00:00:26.6666667, 00:00:35.3333333,30,0,8,100,0.056338028,1, 00:00:30, 00:00:26.2500000,7,1,0
100,86.67,263, 00:00:27.3333333, 00:00:20,27,0,5,100,0.0625,2, 00:00:35, 00:00:26.1538462,4,2,0
101,81.11,361, 00:00:54.6666667, 00:00:49.3333333,21,6,8,100,0.358490566,11, 00:01:14.1176471, 00:00:50.1369863,11,2,0
102,57.78,172, 00:01:23.3333333, 00:00:16.6666667,6,9,14,100,0.402985075,16, 00:01:45.7894737, 00:01:06.9230769,6,3,5
103,70,400, 00:00:58.6666667, 00:00:33.3333333,12,3,7,100,0.13559322,2, 00:01:15.5555556, 00:00:51.4285714,4,3,2
104,63.33,290, 00:00:46, 00:00:11.3333333,13,1,8,100,0.161764706,10, 00:00:43.6363636, 00:00:47.3684211,5,2,3
105,94.44,436, 00:00:52, 00:00:30,15,3,2,100,0.666666667,39, 00:02:24, 00:00:46.5882353,5,0,0
106,83.33,429, 00:00:52, 00:00:36.6666667,13,2,7,100,0.075471698,0, 00:01:32, 00:00:44,3,1,3
107,68.89,469, 00:01:14, 00:00:31.3333333,14,6,6,100,1.466666667,82, 00:02:02.1428571, 00:00:52.2580645,5,1,2
108,62.22,539, 00:01:10, 00:00:22.6666667,14,5,11,100,1.870967742,108, 00:01:33.5294118, 00:00:55.7142857,3,2,7
109,73.33,376, 00:00:44, 00:00:55.3333333,24,4,14,100,0.214285714,5, 00:01:12.5000000, 00:00:33.6363636,4,7,8
110,85.56,326, 00:01:00.6666667, 00:00:30,12,3,7,100,0.333333333,16, 00:01:50.7692308, 00:00:52.2077922,4,3,2
111,77.78,408, 00:00:46, 00:00:46.6666667,17,3,11,100,0.326923077,5, 00:01:06, 00:00:40.2857143,8,1,3
112,87.78,394, 00:00:46, 00:00:48,18,1,8,100,0.192307692,5, 00:01:38.1818182, 00:00:38.7341772,6,1,2
113,52.22,242, 00:00:48.6666667, 00:00:06,12,1,2,100,0,0, 00:00:53.0232558, 00:00:44.6808511,1,1,0
114,67.78,448, 00:00:48.6666667, 00:00:48,19,2,14,100,0.588235294,31, 00:01:00, 00:00:43.2786885,10,6,2
115,85.56,600, 00:00:30, 00:01:04.6666667,34,2,14,100,1.06122449,37, 00:00:55.3846154, 00:00:25.7142857,10,3,1
